Name,Link,Longitude,Latitude,Company,Funder,Incubator/accelerator,University/RTO
NSG Holding (Europe) Limited,Not given,-2.814683,53.573527,0,0,0,1
NXP Semiconductors UK Limited,Not given,-2.142264,53.376629,0,0,0,1
National Centre for Atmospheric Science,Not given,-1.55435,53.806504,0,0,0,1
National Composites Centre,Not given,-2.476025,51.49824,0,0,0,1
National Grid PLC,Not given,-0.126177,51.507526,0,0,0,1
National Instruments Corp (UK) Ltd,Not given,-1.30686,51.406384,0,0,0,1
National Microelectronics Institute,Not given,-3.529648,55.889018,0,0,0,1
National Nuclear Laboratory Ltd,Not given,-2.525051,53.425975,0,0,0,1
National Oceanography Centre,http://noc.ac.uk/,-1.394587,50.892674,0,0,0,1
National Physical Laboratory NPL,Not given,-0.344078,51.425296,0,0,0,1
Natural England,Not given,-1.466973,53.386096,0,0,0,1
Natural Environment Research Council,http://www.nerc.ac.uk/,-1.784755,51.566728,0,0,0,1
Nesta,http://www.nesta.org.uk/,-0.108654,51.516588,0,0,0,1
Network Rail Ltd,Not given,-0.121872,51.534656,0,0,0,1
Newcastle City Council,Not given,-1.615383,54.96746,0,0,0,1
Nikon UK Ltd,Not given,-0.306333,51.427797,0,0,0,1
Norfolk County Council,https://www.norfolk.gov.uk/,1.307646,52.615176,0,0,0,1
Norfolk and Norwich University Hospital,Not given,1.220593,52.617202,0,0,0,1
North East Process Industry ClusterNEPIC,Not given,-1.101591,54.576123,0,0,0,1
Northern Gas Networks,http://www.northerngasnetworks.co.uk,-1.428535,53.793616,0,0,0,1
Northern Powergrid,http://www.northernpowergrid.com/,-1.499777,55.025798,0,0,0,1
Northumberland County Council,Not given,-1.684509,55.153608,0,0,0,1
Northumbria University,http://www.northumbria.ac.uk/,-1.607738,54.975737,0,0,0,1
Northumbrian Water Ltd,Not given,-1.582037,54.804507,0,0,0,1
Nottingham City Council,http://www.nottinghamcity.gov.uk/,-1.144557,52.948107,0,0,0,1
Nottingham Scientific Ltd,Not given,-1.163909,52.934582,0,0,0,1
Nottingham Trent University,http://www.ntu.ac.uk/,-1.151841,52.956118,0,0,0,1
Nottingham Uni Hospitals NHS Trust,Not given,-1.157381,52.990218,0,0,0,1
Novalia,http://www.novalia.co.uk,0.143751,52.23179,0,0,0,1
Numerical Algorithms Group Ltd,Not given,-1.274371,51.793143,0,0,0,1
O2 Telefonica Europe plc,Not given,-0.58888,51.509311,0,0,0,1
OCF Plc,Not given,-1.473036,53.472243,0,0,0,1
Oclaro Technology UK,Not given,-1.049022,52.15465,0,0,0,1
Ofcom,http://www.ofcom.org.uk,-0.095077,51.507804,0,0,0,1
Office for National Statistics,Not given,-3.027708,51.566739,0,0,0,1
OpTIC Glyndwr Ltd,Not given,-3.475585,53.255931,0,0,0,1
